entrezgene_id	logFC
NA	5.788381831
103635519	-4.129763028
NA	4.149852315
NA	-4.819135844
NA	-6.842828696
100280530	-3.450353289
NA	5.069953372
NA	5.683234537
103646784	-3.357084576
NA	8.459549108
100285458	-3.927745937
NA	-5.713758392
542716	-3.32042329
100383277	-3.972583198
103649719	-3.922149302
NA	4.198274327
NA	4.429551222
NA	4.861757824
100286107	-6.900250659
100282976	-4.693892215
100273616	4.1571787
NA	-3.513848901
100277775	4.144090146
NA	-3.645010104
103625926	4.285290399
100286212	4.348165154
NA	3.91250499
NA	-6.520633954
100284998	-3.938777395
NA	6.18521529
103627890	3.640796802
NA	4.216105895
NA	5.477782741
NA	-3.318942062
NA	3.78147848
100382364	3.689120472
103633249	4.386995163
100282512	-3.608646863
NA	4.313774574
100381542	4.55701448
100194210	4.535067739
100274453	-6.798423333
103636576	4.738316421
100281145	3.382380037
100281114	3.737510953
100285610	-3.756773417
NA	8.548570531
100216576	-5.036525406
100502501	-5.827959647
100284673	3.632159714
100284818	3.633425233
