entrezgene_id	logFC
541908	-3.651333843
100280131	-8.766523466
100274071	5.668099165
100192603	-6.011678182
100275298	4.375128687
103644933	-5.315198256
100192612	5.298413769
100275351	4.524820005
103640631	-4.705219097
100284970	-4.40024265
103640644	-4.40024265
NA	-9.835176502
NA	4.161798834
NA	4.245661471
100280530	-4.639182808
100282066	-4.956038486
100281181	-4.87703178
103647730	-4.126030894
100501175	3.407059385
100383277	5.190919187
100272803	4.421699381
NA	3.675449504
NA	4.505741102
100037765	-5.247903468
NA	-5.014725404
100282976	4.354840549
541712	-3.440021647
103652694	-4.194996264
100279586	-3.766439497
100282648	-3.727983053
NA	-8.320268621
100384219	10.83986021
NA	-4.46604757
100272845	-5.736234961
NA	5.316502075
NA	6.935635482
100276384	-3.697324772
103626984	-4.126030894
100286280	-8.320268621
NA	-3.619923098
103627767	-3.591993457
103629370	-3.518660016
NA	3.300607216
NA	-4.087729608
100275405	-4.232365862
NA	-8.859425809
NA	-5.988915499
100281169	-4.753423562
100272958	-4.849647944
100273598	3.208796509
103633147	4.181420171
103633630	-4.414771177
NA	-4.531999352
542714	5.912136949
NA	-4.266382713
NA	3.496452473
100382179	-5.01184859
NA	-6.80237327
100281625	-4.175517602
100276002	-3.757988641
100191153	-3.531325708
NA	4.596153173
542059	-4.689293403
100303883	3.459712388
NA	4.202700889
