entrezgene_id	logFC
100274071	5.741476936
100275298	3.489236781
100383648	3.239003844
100382402	5.036655335
NA	-3.515895085
100192612	5.154400488
100275351	5.716456323
100284970	-3.392088622
103640644	-3.392088622
NA	-3.637953435
NA	-4.417012521
NA	-3.65559208
100192597	4.916028049
100194055	-8.803163346
NA	-8.159648944
103643889	-8.849603399
NA	-4.668847382
103645593	-8.487926576
NA	-6.021903691
NA	3.286283106
100274370	3.7795404
103646716	-3.418959782
100273056	-4.778046822
NA	-3.786308871
NA	-3.286164389
100501175	4.50355881
NA	3.561151297
100383277	5.179298198
542723	-4.303572889
100272803	4.014920193
NA	-3.210291764
NA	-3.190509957
NA	-3.947936171
NA	3.403018396
NA	5.094814711
100037765	-4.544775067
100282017	-4.519739149
100275056	-4.056097497
100282976	5.122319514
541712	-3.842016794
NA	-3.850633825
NA	8.27779976
NA	-3.52261048
100279586	-3.255584202
100282648	-4.74119432
NA	-3.20834714
NA	-3.721559109
100384219	9.684773602
100280907	9.275473659
NA	4.144773734
NA	5.358390851
NA	4.543327818
NA	-3.709223939
100274473	3.137145209
NA	3.822505169
NA	-4.83622986
NA	3.798604406
103626569	-3.78977619
NA	-4.401217691
100281577	5.354804881
100191881	-4.26196016
103627438	-4.330922263
103627571	-3.873922854
100282845	-3.516859451
103627767	-3.789721237
103627796	-3.62378163
NA	3.387218753
100279973	-3.633781852
NA	-3.490854854
100191685	10.15635277
100382914	8.318312615
NA	3.542908246
100284383	4.680789445
100281608	-3.378846775
NA	-3.55424361
541897	5.469990078
100275405	-4.97163858
103630699	3.703363226
NA	-3.658863419
100281169	-3.948040108
100272749	-3.477636568
100280022	-3.91247368
100282512	-3.208356207
103633630	-3.55424361
NA	-3.770239526
NA	-5.624791969
NA	-6.931980755
NA	3.212255728
100285398	-3.730731463
100279044	-3.813498342
542714	5.232384286
100274453	-3.668378677
NA	3.360236152
NA	-5.956599935
NA	3.376701708
103638138	-3.675011056
100382179	-4.593627994
NA	-8.159648944
100281625	-5.095562768
103638672	-4.561154297
NA	-6.106498885
100283766	-3.869526987
NA	-3.838964951
NA	-3.905968376
100278780	-3.632852684
100192099	10.8793365
100283644	-3.752074127
NA	3.158004002
100196928	-4.388983242
NA	-3.816281839
NA	4.630736141
