gene_id	C_6_Susc
Zm00001eb000010	267
Zm00001eb000020	1623
Zm00001eb000050	0
Zm00001eb000060	170
Zm00001eb000070	0
Zm00001eb000080	233
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	1
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	232
Zm00001eb000180	0
Zm00001eb000190	862.05
Zm00001eb000200	431.95
Zm00001eb000210	296
Zm00001eb000220	745
Zm00001eb000230	1074.76
Zm00001eb000240	192.24
Zm00001eb000250	0
Zm00001eb000270	4
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	1
Zm00001eb000320	2487
Zm00001eb000330	73
Zm00001eb000340	4338.55
Zm00001eb000360	0
Zm00001eb000370	2588
Zm00001eb000380	833
Zm00001eb000390	15
Zm00001eb000400	28.89
Zm00001eb000410	4.11
Zm00001eb000420	169
Zm00001eb000430	2.5
Zm00001eb000440	2.5
Zm00001eb000450	2775
Zm00001eb000460	0
Zm00001eb000470	112
Zm00001eb000480	3915
Zm00001eb000490	1367
Zm00001eb000500	145
Zm00001eb000510	111
Zm00001eb000520	1680
Zm00001eb000530	0
Zm00001eb000540	27
Zm00001eb000550	360
Zm00001eb000560	0
Zm00001eb000570	94
Zm00001eb000580	82
Zm00001eb000590	1623
Zm00001eb000600	160
Zm00001eb000620	774
Zm00001eb000630	0
Zm00001eb000640	109
Zm00001eb000650	36
Zm00001eb000660	2303
Zm00001eb000670	1461
Zm00001eb000680	28
Zm00001eb000690	804
Zm00001eb000700	749
Zm00001eb000710	264
Zm00001eb000720	53
Zm00001eb000740	186.62
Zm00001eb000750	24.38
Zm00001eb000760	2
Zm00001eb000770	1741
Zm00001eb000780	1139
Zm00001eb000790	192.29
Zm00001eb000800	854.71
Zm00001eb000810	0
Zm00001eb000820	401
Zm00001eb000830	0
Zm00001eb000840	52
Zm00001eb000850	1485
Zm00001eb000860	2434
Zm00001eb000870	2038
Zm00001eb000880	612
Zm00001eb000890	167
Zm00001eb000900	119
Zm00001eb000910	352
Zm00001eb000920	1741
Zm00001eb000930	120.32
Zm00001eb000940	22.68
Zm00001eb000960	68
Zm00001eb000970	745.5
Zm00001eb000980	389
Zm00001eb000990	501
Zm00001eb001000	739
Zm00001eb001010	357.58
Zm00001eb001020	279.42
Zm00001eb001030	0
Zm00001eb001040	886
Zm00001eb001050	283
Zm00001eb001060	56
Zm00001eb001070	313
Zm00001eb001090	23
Zm00001eb001100	2
Zm00001eb001110	896
Zm00001eb001120	41
Zm00001eb001130	189
Zm00001eb001140	10
Zm00001eb001150	270.76
Zm00001eb001160	513.24
Zm00001eb001170	16.24
Zm00001eb001180	26.76
Zm00001eb001190	81
Zm00001eb001200	209
Zm00001eb001210	1
Zm00001eb001220	91
Zm00001eb001230	0
Zm00001eb001240	356
Zm00001eb001250	0
Zm00001eb001260	1152.04
Zm00001eb001270	825.03
Zm00001eb001280	51
Zm00001eb001290	177
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	506.67
Zm00001eb001350	251
Zm00001eb001360	583
Zm00001eb001370	13.09
Zm00001eb001400	1597
Zm00001eb001410	2
Zm00001eb001420	0
Zm00001eb001430	6831
Zm00001eb001440	59
Zm00001eb001460	2369
Zm00001eb001470	118
Zm00001eb001480	0
Zm00001eb001490	64
Zm00001eb001500	91
Zm00001eb001510	339
Zm00001eb001520	13
Zm00001eb001530	422
Zm00001eb001550	29
Zm00001eb001560	2489
Zm00001eb001570	1039
Zm00001eb001580	0
Zm00001eb001590	58
Zm00001eb001600	30
Zm00001eb001610	0
Zm00001eb001620	1
Zm00001eb001630	92
Zm00001eb001640	305
Zm00001eb001650	375
Zm00001eb001660	0
Zm00001eb001670	91
Zm00001eb001680	813
Zm00001eb001690	10
Zm00001eb001700	120
Zm00001eb001710	408
Zm00001eb001720	330
Zm00001eb001740	0
Zm00001eb001760	113
Zm00001eb001770	71
Zm00001eb001780	183
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	572
Zm00001eb001820	13
Zm00001eb001830	186.72
Zm00001eb001840	864.28
Zm00001eb001860	668
Zm00001eb001870	1762
Zm00001eb001880	734
Zm00001eb001890	4
Zm00001eb001900	129
Zm00001eb001910	552
Zm00001eb001920	31
Zm00001eb001940	1135
Zm00001eb001950	74
Zm00001eb001960	0
Zm00001eb001970	5
Zm00001eb001980	129
Zm00001eb001990	66
Zm00001eb002000	625
Zm00001eb002010	116.37
Zm00001eb002020	265.63
Zm00001eb002030	162
Zm00001eb002040	432
Zm00001eb002050	0
Zm00001eb002060	5229
Zm00001eb002070	141
Zm00001eb002080	12
Zm00001eb002090	1174
Zm00001eb002100	1285
Zm00001eb002140	0
Zm00001eb002150	30.59
Zm00001eb002170	335
Zm00001eb002180	1761
Zm00001eb002190	7
